unitid,cohort,Rate,iclevel,control,hloffer,locale,instcat,c21enprf,cbsatype,GrantRate,GrantAvg,PellRate,LoanRate,LoanAvg,InDistrictT,InDistrictTDiff,InDistrictF,InDistrictFDiff,InStateT,InstateF,OutStateT,OutStateTDiff,OutStateF,OutStateFDiff,Housing,ScaledHousingCap,board,roomamt,boardamt,AvgSalary,StuFacRatio
101480,1021,49.66%,Four or more years,Public,Doctor^s degree,Suburb: Small,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,91.73%,5999.1134633,41.09%,69.39%,3834.9086098,0,0,0,0,9720,1400,1,9720,0,0,1,3.021450858,2,3900,3300,66462.167192,12.2
101505,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Midsize,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,45.37%,1939.2822136,28.26%,19.76%,688.86575214,0,0,0,0,3690,1230,1,3690,0,0,0,,3,0,0,63547.641667,35.5
101514,,,At least 2 but less than 4 years,Public,Associate^s degree,Rural: Fringe,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,67.36%,1811.2215511,27.05%,17.58%,885.44672626,0,0,0,0,3690,1250,1,3690,0,0,0,,3,0,0,63397.193103,28.5
101541,,,Four or more years,Private not-for-profit,Bachelor^s degree,Rural: Remote,Not applicable,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Not applicable,,,,,,,,,,,,,,,,,,,,,,
101569,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Midsize,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,90.47%,5139.6025505,61.49%,0.00%,0,0,0,0,0,3690,1170,1,3690,0,0,1,18.096153846,1,3000,1760,61682.789474,18.6
101587,369,37.13%,Four or more years,Public,Doctor^s degree,Rural: Remote,"Degree-granting, primarily baccalaureate or above",Majority graduate,Not applicable,77.36%,5283.838968,52.94%,64.99%,4606.4786477,0,0,0,0,9100,1890,1,9100,0,0,1,2.2060843965,2,4760,2834,62849.968421,11.8
101602,,,At least 2 but less than 4 years,Public,Associate^s degree,Rural: Fringe,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Not applicable,80.55%,3391.545018,39.26%,0.00%,0,0,0,0,0,3990,870,1,3990,0,0,1,17.723404255,3,4200,0,60031.740741,15.4
101648,,,At least 2 but less than 4 years,Public,Associate^s degree,Rural: Remote,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Not applicable,94.51%,6884.3092269,35.66%,36.41%,1869.8478803,0,0,0,0,6000,3218,1,6000,0,0,1,0.802,1,0,0,59678.35,10.0
101675,423,23.88%,Four or more years,Private not-for-profit,Bachelor^s degree,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Exclusively undergraduate four-year,Metropolitan Statistical Area,89.51%,7199.3645833,78.26%,80.49%,5603.9784722,0,0,0,0,11164,1550,0,0,0,0,1,1.630804077,1,4182,3166,,
101693,282,51.42%,Four or more years,Private not-for-profit,Doctor^s degree,Rural: Fringe,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,66.57%,9360.5074286,28.69%,48.80%,4260.1885714,0,0,0,0,23160,1695,0,0,0,0,1,2.5584795322,1,5680,4480,46900.927273,15.9
101709,501,51.70%,Four or more years,Public,Post-master^s certificate,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Very high undergraduate,Metropolitan Statistical Area,88.73%,11094.144075,39.50%,52.47%,3532.9196589,0,0,0,0,12090,1620,1,13020,0,0,1,1.6664173523,2,6596,3340,67659.135714,8.0
101736,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Small,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,84.17%,3167.6380952,36.99%,19.52%,595.7389881,0,0,0,0,3690,1141,1,3690,0,0,0,,3,0,0,59721.043478,24.3
101879,1156,51.21%,Four or more years,Public,Doctor^s degree,City: Small,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,71.46%,5653.6155399,34.09%,42.18%,2734.339556,0,0,0,0,9600,1020,1,9600,0,0,1,2.8976608187,2,3846,4120,77047.099291,10.5
101897,,,At least 2 but less than 4 years,Public,Associate^s degree,Rural: Distant,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Micropolitan Statistical Area,73.08%,2736.7434783,39.13%,13.99%,442.58735178,0,0,0,0,3690,1170,1,3690,1,300,0,,3,0,0,65050.886792,23.9
101912,335,49.55%,Four or more years,Private not-for-profit,Master^s degree,City: Midsize,"Degree-granting, primarily baccalaureate or above",Very high undergraduate,Metropolitan Statistical Area,92.53%,12263.439881,47.20%,68.71%,5114.1635549,0,0,0,0,18974,1016,0,0,0,0,1,1.2063063063,1,4692,5358,,
101994,,,At least 2 but less than 4 years,Public,Associate^s degree,Rural: Fringe,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Not applicable,89.61%,3957.2759857,45.52%,0.00%,0,0,0,0,0,3690,1200,1,3690,0,0,0,,3,0,0,61327.642857,10.0
102030,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Midsize,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,59.42%,3105.8910846,48.02%,0.00%,0,0,0,0,0,3690,1170,1,3690,0,0,0,,3,0,0,64681.517857,19.4
102049,825,78.91%,Four or more years,Private not-for-profit,Doctor^s degree,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Majority undergraduate,Metropolitan Statistical Area,95.11%,16811.266219,11.49%,30.93%,1979.0746644,0,0,0,0,34410,950,0,0,0,0,1,1.5056842105,2,6150,5110,84440.609195,6.9
102058,139,7.19%,Four or more years,Private not-for-profit,Master^s degree,Town: Distant,Not reported,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Micropolitan Statistical Area,0.00%,0,0.00%,0.00%,0,,,,,,,,,,,,,,,,10000,3.0
102067,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Small,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,56.77%,2462.7745124,38.10%,0.00%,0,0,0,0,0,3690,897,1,3690,0,0,0,,3,0,0,62543.236559,20.1
102076,,,At least 2 but less than 4 years,Public,Associate^s degree,Town: Distant,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Micropolitan Statistical Area,65.16%,3358.332008,38.92%,13.12%,430.57803181,0,0,0,0,3936,1408,1,3936,0,0,1,23.126436782,1,2350,1685,61809.264706,29.6
102094,2082,47.41%,Four or more years,Public,Doctor^s degree,City: Midsize,"Degree-granting, primarily baccalaureate or above",Majority undergraduate,Metropolitan Statistical Area,74.45%,4995.4133702,36.72%,51.20%,5626.5144751,0,0,0,0,8256,500,1,8256,0,0,1,2.7169018313,2,4260,3890,71218.801205,13.6
102234,415,56.39%,Four or more years,Private not-for-profit,Post-master^s certificate,City: Midsize,"Degree-granting, primarily baccalaureate or above",Very high undergraduate,Metropolitan Statistical Area,98.11%,19909.624882,36.48%,74.84%,4874.4429783,0,0,0,0,21100,0,0,0,0,0,1,0.9331574318,2,6240,5200,49670.361446,6.4
102270,232,14.66%,Four or more years,Private not-for-profit,Bachelor^s degree,City: Small,"Degree-granting, primarily baccalaureate or above",Exclusively undergraduate four-year,Metropolitan Statistical Area,97.31%,9132.7123656,74.33%,73.39%,5801.7782258,0,0,0,0,9548,1844,0,0,0,0,1,1.7884615385,1,5984,4070,,
102298,236,24.58%,Four or more years,Private not-for-profit,Master^s degree,Town: Distant,"Degree-granting, primarily baccalaureate or above",Very high undergraduate,Micropolitan Statistical Area,82.22%,7999.886836,71.67%,70.36%,2843.8960739,0,0,0,0,12130,1756,0,0,0,0,1,1.62375,1,0,0,55887.09375,20.3
102313,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Midsize,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,77.72%,3381.5996068,59.50%,0.00%,0,0,0,0,0,3690,1080,1,3690,0,0,0,,3,0,0,60065.081633,15.6
102368,1671,52.18%,Four or more years,Public,Doctor^s degree,Town: Remote,"Degree-granting, primarily baccalaureate or above",High undergraduate,Micropolitan Statistical Area,71.52%,4259.8289805,40.28%,64.36%,3318.6865953,0,0,0,0,9312,0,1,9312,0,0,1,6.2930693069,1,3920,3679,,
102377,577,57.37%,Four or more years,Private not-for-profit,Doctor^s degree,Town: Distant,"Degree-granting, primarily baccalaureate or above",High undergraduate,Not applicable,20.10%,3789.709123,13.18%,13.05%,819.33803438,0,0,0,0,19594,3020,0,0,0,0,1,1.5126666667,1,5376,5304,,
102395,,,Four or more years,Private not-for-profit,Doctor^s degree,City: Small,"Degree-granting, primarily baccalaureate or above",Majority graduate,Metropolitan Statistical Area,36.36%,595.09090909,21.97%,63.64%,3285.6287879,0,0,0,0,17424,0,0,0,0,0,0,,3,0,0,,
102429,,,At least 2 but less than 4 years,Public,Associate^s degree,Town: Distant,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Micropolitan Statistical Area,79.88%,3032.134375,32.88%,0.00%,0,0,0,0,0,3936,1278,1,3936,0,0,1,53.333333333,3,1450,0,63892.453704,14.8
102553,950,34.42%,Four or more years,Public,Doctor^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",Very high undergraduate,Metropolitan Statistical Area,45.25%,2893.225117,19.99%,17.08%,1131.216727,0,0,0,0,7224,1526,1,15848,1,630,1,11.368473896,1,7312,5350,84412.555276,14.2
102580,3,33.33%,Four or more years,Private not-for-profit,Bachelor^s degree,Town: Distant,"Degree-granting, primarily baccalaureate or above",Exclusively undergraduate four-year,Metropolitan Statistical Area,75.00%,7113.45,47.50%,17.50%,1076.45,0,0,0,0,10200,700,0,0,0,0,1,2,1,0,0,,
102614,448,47.99%,Four or more years,Public,Doctor^s degree,Suburb: Small,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,51.83%,3537.9350427,21.78%,18.44%,1297.1104274,0,0,0,0,7296,1925,1,15791,1,642,1,3.7644787645,2,5150,5390,86188.05364,11.2
102632,70,34.29%,Four or more years,Public,Master^s degree,Town: Remote,"Degree-granting, primarily baccalaureate or above",High undergraduate,Micropolitan Statistical Area,45.15%,2596.4376731,16.34%,14.40%,1023.3645429,0,0,0,0,7121,1573,1,15621,1,635,1,4.75,2,5800,4000,76429.388235,10.6
102669,36,22.22%,Four or more years,Private not-for-profit,Doctor^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",Majority undergraduate,Metropolitan Statistical Area,86.86%,13371.336538,41.03%,45.19%,3384.2564103,0,0,0,0,20350,410,0,0,0,0,1,3.25,1,0,0,59695.710526,4.1
102711,,,Less than 2 years (below associate),Public,"At least 1, but less than 2 academic yrs",Rural: Remote,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Not applicable,,,,,,,,,,,,,,,,,,,,,,
102845,,,Four or more years,Private for-profit,Bachelor^s degree,City: Midsize,"Degree-granting, not primarily baccalaureate or above",Exclusively undergraduate four-year,Metropolitan Statistical Area,80.57%,4850.4334906,54.48%,66.65%,4936.4721698,0,0,0,0,17208,0,0,0,0,0,0,,3,0,0,,
103501,,,At least 2 but less than 4 years,Private for-profit,Associate^s degree,City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
103529,,,Four or more years,Public,Doctor^s degree,Suburb: Small,Not applicable,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
103741,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",City: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
103893,,,At least 2 but less than 4 years,Private for-profit,Associate^s degree,City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
103909,,,At least 2 but less than 4 years,Private for-profit,Associate^s degree,City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
103927,,,At least 2 but less than 4 years,Private for-profit,Associate^s degree,City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
103954,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",City: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
103963,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",Suburb: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
104090,10,20.00%,Four or more years,Private for-profit,Master^s degree,City: Large,"Degree-granting, not primarily baccalaureate or above",Very high undergraduate,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
104151,11270,66.02%,Four or more years,Public,Doctor^s degree,City: Midsize,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,84.22%,9315.9456625,32.76%,30.51%,1900.7832203,0,0,0,0,10710,638,1,18090,0,0,1,3.864576956,2,8176,5520,105275.63924,10.5
104160,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Small,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,51.38%,2511.7505781,40.27%,0.49%,20.438261138,0,0,0,0,2700,0,1,8550,0,0,1,21.623333333,2,2378,5324,67982.673077,31.2
104179,6961,64.34%,Four or more years,Public,Doctor^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,75.72%,9830.2323419,28.68%,28.82%,1858.2594522,0,0,0,0,10990,1414,1,22749,0,0,1,5.0747583854,2,8400,5050,103471.574,10.7
104188,,,Four or more years,Private not-for-profit,Master^s degree,City: Large,Not applicable,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
104346,,,At least 2 but less than 4 years,Public,Associate^s degree,Rural: Fringe,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,58.54%,1868.2669284,33.56%,4.44%,224.65505397,0,0,0,0,2580,0,1,2580,0,0,1,16.304,1,3000,4300,62487.321839,23.4
104391,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",City: Small,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
104425,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Small,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,50.83%,2429.0375714,38.14%,6.01%,373.08385933,0,0,0,0,2184,0,1,4056,0,0,1,18.081521739,1,0,0,60916.469136,20.5
104443,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",City: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
104568,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",City: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
104577,,,At least 2 but less than 4 years,Public,Associate^s degree,Town: Remote,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Micropolitan Statistical Area,32.86%,1927.6295537,21.13%,0.00%,0,0,0,0,0,2160,0,1,6960,0,0,1,11.87027027,2,3700,5400,72097.62069,25.2
104586,578,69.90%,Four or more years,Private not-for-profit,Master^s degree,Rural: Fringe,"Degree-granting, primarily baccalaureate or above",Very high undergraduate,Metropolitan Statistical Area,91.46%,16662.800743,19.01%,38.10%,2393.7895981,0,0,0,0,37512,1454,0,0,0,0,1,2.1534545455,2,7600,5136,83236.726619,10.7
104665,,,Four or more years,Private not-for-profit,Master^s degree,Suburb: Large,"Degree-granting, graduate with no undergraduate degrees",Exclusively graduate,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
104708,,,At least 2 but less than 4 years,Public,Associate^s degree,Suburb: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,46.58%,1800.3300404,29.36%,8.74%,330.13378322,0,0,0,0,2040,30,1,5784,0,0,0,,3,0,0,85931.313953,27.9
104717,2452,44.74%,Four or more years,Private for-profit,Doctor^s degree,City: Large,"Degree-granting, primarily baccalaureate or above",Majority undergraduate,Metropolitan Statistical Area,71.00%,5327.4110302,43.11%,54.97%,4535.9226691,0,0,0,0,16401,788,0,0,0,0,1,4.0002509883,2,5300,3800,74901.248677,168.7
105136,,,At least 2 but less than 4 years,Public,"At least 2, but less than 4 academic yrs",City: Midsize,Not applicable,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
105145,,,At least 2 but less than 4 years,Public,"At least 2, but less than 4 academic yrs",City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,46.57%,1481.1865096,28.69%,12.44%,504.73083512,0,0,0,0,2040,30,1,5784,0,0,0,,3,0,0,82536.74,23.4
105154,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Large,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,40.46%,1505.7884706,22.89%,8.60%,320.77572575,0,0,0,0,2040,30,1,5784,0,0,0,,3,0,0,86237.191638,29.5
105206,,,At least 2 but less than 4 years,Public,Associate^s degree,Rural: Fringe,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,61.55%,1781.4324028,34.51%,8.07%,417.68472906,0,0,0,0,1944,192,1,4860,0,0,0,,3,0,0,57068.135593,31.0
105215,,,At least 2 but less than 4 years,Private for-profit,Associate^s degree,City: Large,"Degree-granting, associate^s and certificates","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
105297,,,Four or more years,Public,Bachelor^s degree,Rural: Remote,"Degree-granting, not primarily baccalaureate or above",Exclusively undergraduate four-year,Not applicable,74.43%,2079.8122717,47.55%,0.00%,0,0,0,0,0,1320,90,0,0,0,0,1,4.871886121,1,1280,2960,57126.47619,10.9
105330,4659,59.00%,Four or more years,Public,Doctor^s degree,City: Small,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,90.67%,8796.1414698,31.74%,34.47%,2250.1118995,0,0,0,0,10381,1146,1,6219,1,15,1,2.5604384451,2,6000,5338,80290.061979,15.0
105349,,,At least 2 but less than 4 years,Public,Associate^s degree,Rural: Fringe,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Micropolitan Statistical Area,99.70%,1703.7674074,15.30%,0.00%,0,0,0,0,0,1948,480,1,7422,0,0,0,,3,0,0,62423.583333,28.1
